SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_UNKNOWN_CNT,TRANSITION_UNKNOWN_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20162017,053,HICKMAN,261,Hickman County,050,Hickman County High School,261050,053261050,210279000594,"$12,460",292.54,300,142,47.3%,158,52.7%,248,82.7%,24,8.0%,11,3.7%,0,0.0%,0,0.0%,0,0.0%,17,5.7%,147,49.0%,27,9.0%,96.5%,3.3%,0.3%,N/A,35,72.9%,31,64.6%,4,8.3%,N/A,0.0%,10,20.8%,N/A,0.0%,2,4.2%,1,2.1%,13:1,23.00,3.00,20.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,1,0.0%,12.1,36.7%,16.7%,46.7%,0.0%,0.0%,100.0%,3.0%,1.9:1,100%,264,21,3,410,WKEC,908
20162017,053,HICKMAN,261,Hickman County,,---District Total---,261,,,"$12,312",667.59,687,330,48.0%,357,52.0%,558,81.2%,59,8.6%,25,3.6%,1,0.1%,0,0.0%,0,0.0%,44,6.4%,378,55.0%,57,8.3%,96.5%,2.7%,0.3%,N/A,35,72.9%,31,64.6%,4,8.3%,N/A,0.0%,10,20.8%,N/A,0.0%,2,4.2%,1,2.1%,12:1,56.00,5.00,51.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,2,0.0%,12.1,33.3%,39.7%,27.0%,0.0%,0.0%,100.0%,1.5%,2.4:1,100%,626,46,6,"1,790",WKEC,908
20162017,054,HOPKINS,265,Hopkins County,140,Browning Springs Middle School,265140,054265140,210286000601,"$9,709",377.53,398,191,48.0%,207,52.0%,277,69.6%,68,17.1%,23,5.8%,2,0.5%,0,0.0%,0,0.0%,28,7.0%,260,65.3%,25,6.3%,94.7%,0.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,27.00,8.00,19.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,1,0.0%,8.8,42.3%,38.5%,19.2%,0.0%,0.0%,100.0%,0.0%,1.4:1,100%,222,9,2,350,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,330,Earlington Elementary School,265330,054265330,210286000614,"$10,650",326.95,351,179,51.0%,172,49.0%,269,76.6%,23,6.6%,23,6.6%,0,0.0%,0,0.0%,0,0.0%,36,10.3%,276,78.6%,9,2.6%,94.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,29.00,4.00,25.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0,0.0%,9,38.5%,42.3%,19.2%,0.0%,0.0%,100.0%,0.0%,1.7:1,100%,212,42,5,302,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,090,Grapevine Elementary School,265090,054265090,210286000598,"$11,154",305.02,315,171,54.3%,144,45.7%,217,68.9%,39,12.4%,26,8.3%,0,0.0%,0,0.0%,1,0.3%,32,10.2%,218,69.2%,15,4.8%,94.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:1,26.00,2.00,24.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,1,0.0%,10.8,35.0%,55.0%,10.0%,0.0%,0.0%,100.0%,0.0%,1.8:1,100%,164,14,2,218,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,110,Hanson Elementary School,265110,054265110,210286000600,"$8,863",533.27,555,295,53.2%,260,46.8%,485,87.4%,26,4.7%,10,1.8%,6,1.1%,0,0.0%,1,0.2%,27,4.9%,227,40.9%,35,6.3%,96.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19:1,30.00,1.00,29.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,4,0.0%,11.7,15.4%,50.0%,34.6%,0.0%,0.0%,100.0%,0.0%,2.4:1,100%,244,28,2,850,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,105,Hopkins Co Career & Technology Center,265105,054265105,,$0,,316,188,59.5%,128,40.5%,267,84.5%,23,7.3%,14,4.4%,0,0.0%,2,0.6%,1,0.3%,9,2.8%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0:1,7.00,5.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0,0.0%,5.3,25.0%,25.0%,50.0%,0.0%,0.0%,100.0%,0.0%,0:1,100%,20,,,0,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,130,Hopkins County Central High School,265130,054265130,210286001473,"$11,427",821.86,858,472,55.0%,386,45.0%,743,86.6%,59,6.9%,33,3.8%,2,0.2%,5,0.6%,0,0.0%,16,1.9%,466,54.3%,47,5.5%,93.7%,3.4%,0.8%,N/A,0,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,203,100.0%,N/A,0.0%,15:1,59.00,32.00,27.00,58.00,1.00,0.00,0.00,0.00,0.00,0.00,59.00,0,0.0%,10.2,29.3%,48.3%,20.7%,1.7%,0.0%,100.0%,3.3%,1:1,100%,40,0,28,"1,220",WKEC,908
20162017,054,HOPKINS,265,Hopkins County,005,Hopkins County Day Treatment,265005,054265005,210286001586,"$42,840",11.31,14,12,85.7%,2,14.3%,9,64.3%,4,28.6%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,7.1%,12,85.7%,0,0.0%,86.6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:1,4.00,3.00,1.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,,0.0%,25,0.0%,50.0%,50.0%,0.0%,0.0%,100.0%,0.0%,.2:1,100%,66,,,20,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,004,Hopkins County Schools Academy,265004,054265004,210286002280,"$166,106",2.22,44,25,56.8%,19,43.2%,33,75.0%,9,20.5%,1,2.3%,0,0.0%,0,0.0%,0,0.0%,1,2.3%,34,77.3%,1,2.3%,N/A,N/A,N/A,N/A,2,8.3%,N/A,0.0%,2,8.3%,N/A,0.0%,N/A,0.0%,N/A,0.0%,22,91.7%,N/A,0.0%,10:1,5.00,3.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,.1:1,100%,44,,,,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,075,James Madison Middle School,265075,054265075,210286000681,"$8,999",530.2,545,285,52.3%,260,47.7%,436,80.0%,56,10.3%,23,4.2%,6,1.1%,0,0.0%,3,0.6%,21,3.9%,245,45.0%,18,3.3%,95.3%,1.5%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,33.00,11.00,22.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,1,0.0%,12,30.3%,60.6%,9.1%,0.0%,0.0%,100.0%,0.0%,1.5:1,100%,508,14,9,"3,118",WKEC,908
20162017,054,HOPKINS,265,Hopkins County,020,Jesse Stuart Elementary School,265020,054265020,210286000673,"$10,194",458.29,475,216,45.5%,259,54.5%,330,69.5%,76,16.0%,20,4.2%,4,0.8%,0,0.0%,3,0.6%,42,8.8%,321,67.6%,15,3.2%,95.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,33.00,1.00,32.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,5,0.0%,11.3,27.3%,42.4%,30.3%,0.0%,0.0%,100.0%,0.0%,1.8:1,100%,212,92,2,225,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,145,Madisonville North Hopkins High School,265145,054265145,210286000602,"$10,726",949.27,998,514,51.5%,484,48.5%,802,80.4%,99,9.9%,39,3.9%,10,1.0%,2,0.2%,3,0.3%,43,4.3%,434,43.5%,41,4.1%,93.6%,5.6%,0.4%,N/A,146,64.3%,134,59.0%,12,5.3%,33,14.5%,21,9.3%,8,3.5%,6,2.6%,13,5.7%,15:1,68.00,32.00,36.00,65.00,1.00,0.00,1.00,0.00,0.00,1.00,68.00,0,0.0%,11.4,19.4%,59.7%,19.4%,0.0%,1.5%,100.0%,1.4%,1.8:1,100%,192,32,3,334,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,200,Pride Elementary School,265200,054265200,210286000606,"$10,194",407.85,426,218,51.2%,208,48.8%,282,66.2%,69,16.2%,29,6.8%,0,0.0%,2,0.5%,0,0.0%,44,10.3%,275,64.6%,13,3.1%,95.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,31.00,1.00,30.00,29.00,2.00,0.00,0.00,0.00,0.00,0.00,31.00,3,0.0%,11.1,26.7%,40.0%,33.3%,0.0%,0.0%,100.0%,0.0%,2.3:1,100%,281,48,9,"1,524",WKEC,908
20162017,054,HOPKINS,265,Hopkins County,185,South Hopkins Middle School,265185,054265185,210286001499,"$10,756",385.89,413,207,50.1%,206,49.9%,364,88.1%,18,4.4%,11,2.7%,1,0.2%,1,0.2%,0,0.0%,18,4.4%,251,60.8%,22,5.3%,94.6%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,28.00,11.00,17.00,27.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00,0,0.0%,14.3,14.8%,48.1%,37.0%,0.0%,0.0%,100.0%,0.0%,1.3:1,100%,167,10,2,112,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,280,Southside Elementary School,265280,054265280,210286000474,"$9,946",419.24,437,228,52.2%,209,47.8%,406,92.9%,3,0.7%,7,1.6%,2,0.5%,0,0.0%,0,0.0%,19,4.3%,280,64.1%,27,6.2%,94.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,32.00,5.00,27.00,30.00,1.00,1.00,0.00,0.00,0.00,0.00,32.00,0,0.0%,7.8,55.2%,37.9%,6.9%,0.0%,0.0%,100.0%,0.0%,.8:1,100%,210,15,4,"1,100",WKEC,908
20162017,054,HOPKINS,265,Hopkins County,250,West Broadway Elementary School,265250,054265250,210286000611,"$10,612",358.15,381,199,52.2%,182,47.8%,287,75.3%,42,11.0%,18,4.7%,1,0.3%,0,0.0%,0,0.0%,33,8.7%,213,55.9%,28,7.3%,95.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,30.00,.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,2,0.0%,12,24.0%,52.0%,24.0%,0.0%,0.0%,100.0%,0.0%,1.7:1,100%,124,2,2,900,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,006,West Hopkins School,265006,054265006,210286001472,"$10,504",375.9,392,210,53.6%,182,46.4%,371,94.6%,0,0.0%,12,3.1%,0,0.0%,1,0.3%,0,0.0%,8,2.0%,220,56.1%,33,8.4%,94.7%,0.0%,1.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,30.00,7.00,23.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0,0.0%,9.8,44.4%,40.7%,14.8%,0.0%,0.0%,100.0%,3.7%,.9:1,100%,102,17,8,202,WKEC,908
20162017,054,HOPKINS,265,Hopkins County,,---District Total---,265,,,"$10,404","6,262.95","6,602","3,422",51.8%,"3,180",48.2%,"5,311",80.4%,591,9.0%,275,4.2%,34,0.5%,11,0.2%,11,0.2%,369,5.6%,"3,732",56.5%,329,5.0%,94.6%,2.3%,1.1%,N/A,148,32.6%,134,29.5%,14,3.1%,33,7.3%,21,4.6%,8,1.8%,231,50.9%,13,2.9%,14:1,463.00,122.00,341.00,452.00,8.00,1.00,1.00,0.00,0.00,1.00,463.00,17,0.0%,10.8,29.6%,48.3%,21.7%,0.2%,0.2%,100.0%,0.9%,1.3:1,100%,"2,808",323,78,"10,475",WKEC,908
20162017,055,JACKSON,271,Jackson County,029,Barnabus Home High School,271029,055271029,210294002390,,5.15,6,6,100.0%,0,0.0%,6,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,6,100.0%,0,0.0%,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:1,3.00,3.00,.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,,0.0%,21,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0:1,100%,,,,,SESC,907
20162017,055,JACKSON,271,Jackson County,027,Barnabus Home Middle School,271027,055271027,210294002375,,3.61,7,7,100.0%,0,0.0%,5,71.4%,1,14.3%,0,0.0%,0,0.0%,1,14.3%,0,0.0%,0,0.0%,7,100.0%,0,0.0%,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7:1,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.0%,23,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0:1,100%,,,,,SESC,907
20162017,055,JACKSON,271,Jackson County,020,Jackson County High School,271020,055271020,210294000615,"$12,064",562.13,601,322,53.6%,279,46.4%,595,99.0%,0,0.0%,2,0.3%,1,0.2%,2,0.3%,0,0.0%,1,0.2%,394,65.6%,35,5.8%,89.7%,2.7%,0.3%,N/A,54,43.6%,52,41.9%,2,1.6%,7,5.7%,41,33.1%,N/A,0.0%,19,15.3%,3,2.4%,14:1,44.00,21.00,23.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,1,0.0%,11.6,22.5%,40.0%,37.5%,0.0%,0.0%,100.0%,0.0%,1.6:1,100%,520,30,2,69,SESC,907
20162017,055,JACKSON,271,Jackson County,025,Jackson County Middle School,271025,055271025,210294001674,"$12,091",418.43,443,225,50.8%,218,49.2%,441,99.5%,0,0.0%,1,0.2%,1,0.2%,0,0.0%,0,0.0%,0,0.0%,308,69.5%,25,5.6%,91.6%,0.2%,0.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,32.00,9.00,23.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,1,0.0%,14.5,8.8%,35.3%,55.9%,0.0%,0.0%,100.0%,2.9%,1.5:1,100%,225,10,6,625,SESC,907
20162017,055,JACKSON,271,Jackson County,180,McKee Elementary School,271180,055271180,210294000617,"$14,632",288.27,313,159,50.8%,154,49.2%,308,98.4%,1,0.3%,2,0.6%,0,0.0%,0,0.0%,0,0.0%,2,0.6%,239,76.4%,7,2.2%,91.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:1,27.00,3.00,24.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0,0.0%,13.7,28.1%,34.4%,34.4%,3.1%,0.0%,100.0%,0.0%,1.6:1,100%,250,20,2,10,SESC,907
20162017,055,JACKSON,271,Jackson County,280,Sand Gap Elementary School,271280,055271280,210294000619,"$14,644",219.23,234,131,56.0%,103,44.0%,231,98.7%,0,0.0%,3,1.3%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,168,71.8%,7,3.0%,92.0%,1.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:1,21.00,2.00,19.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0,0.0%,12.6,28.6%,42.9%,28.6%,0.0%,0.0%,100.0%,0.0%,1.3:1,100%,63,18,2,"1,492",SESC,907
20162017,055,JACKSON,271,Jackson County,340,Tyner Elementary School,271340,055271340,210294000620,"$12,731",409.11,439,225,51.3%,214,48.7%,430,97.9%,2,0.5%,6,1.4%,1,0.2%,0,0.0%,0,0.0%,0,0.0%,305,69.5%,17,3.9%,93.3%,2.8%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,34.00,5.00,29.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0,0.0%,13.5,16.2%,27.0%,56.8%,0.0%,0.0%,100.0%,0.0%,1.2:1,100%,441,13,2,"4,000",SESC,907
20162017,055,JACKSON,271,Jackson County,,---District Total---,271,,,"$12,992","1,905.91","2,043","1,075",52.6%,968,47.4%,"2,016",98.7%,4,0.2%,14,0.7%,3,0.1%,3,0.1%,0,0.0%,3,0.1%,"1,427",69.8%,91,4.5%,91.6%,1.6%,0.4%,N/A,54,43.6%,52,41.9%,2,1.6%,7,5.7%,41,33.1%,N/A,0.0%,19,15.3%,3,2.4%,12:1,158.00,40.00,118.00,158.00,0.00,0.00,0.00,0.00,0.00,0.00,158.00,2,0.0%,13.2,19.8%,34.7%,44.9%,0.6%,0.0%,100.0%,0.6%,1.4:1,100%,"1,499",91,14,"6,196",SESC,907
20162017,013,BREATHITT,272,Jackson Independent,011,Jackson City School,272011,013272011,210291001719,"$12,102",321.28,333,159,47.7%,174,52.3%,327,98.2%,0,0.0%,0,0.0%,6,1.8%,0,0.0%,0,0.0%,0,0.0%,175,52.6%,8,2.4%,95.1%,1.8%,0.0%,N/A,18,100.0%,18,100.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,16:1,21.00,4.00,17.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,3,0.0%,14.7,28.0%,36.0%,36.0%,0.0%,0.0%,100.0%,0.0%,.6:1,100%,261,51,2,556,KVEC,904
20162017,013,BREATHITT,272,Jackson Independent,,---District Total---,272,,,"$12,053",321.28,333,159,47.7%,174,52.3%,327,98.2%,0,0.0%,0,0.0%,6,1.8%,0,0.0%,0,0.0%,0,0.0%,175,52.6%,8,2.4%,95.2%,1.8%,0.0%,N/A,18,100.0%,18,100.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,15:1,21.00,4.00,17.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,2,0.0%,14.7,28.0%,36.0%,36.0%,0.0%,0.0%,100.0%,0.0%,.6:1,100%,261,51,2,556,KVEC,904
20162017,056,JEFFERSON,275,Jefferson County,456,Ackerly,275456,056275456,210299001859,"$20,223",15.06,14,2,14.3%,12,85.7%,12,85.7%,1,7.1%,1,7.1%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,0.0%,,0.0%,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7:1,2.00,2.00,.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,,0.0%,12,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0:1,100%,35,,,0,JEFF CO,909
20162017,056,JEFFERSON,275,Jefferson County,920,Ahrens Educational Resource Center,275920,056275920,210299001447,"$44,613",29.59,39,25,64.1%,14,35.9%,20,51.3%,17,43.6%,1,2.6%,1,2.6%,0,0.0%,0,0.0%,0,0.0%,,0.0%,,0.0%,91.1%,N/A,N/A,N/A,0,0.0%,N/A,0.0%,N/A,0.0%,2,14.3%,6,42.9%,N/A,0.0%,6,42.9%,N/A,0.0%,8:1,5.00,1.00,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0,0.0%,12.5,25.0%,50.0%,25.0%,0.0%,0.0%,100.0%,0.0%,0:1,100%,39,,,4,JEFF CO,909
20162017,056,JEFFERSON,275,Jefferson County,175,Alex R. Kennedy Elementary,275175,056275175,210299002421,"$20,802",204.82,212,120,56.6%,92,43.4%,80,37.7%,78,36.8%,24,11.3%,6,2.8%,0,0.0%,0,0.0%,24,11.3%,126,59.4%,24,11.3%,95.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:1,20.00,2.00,18.00,16.00,4.00,0.00,0.00,0.00,0.00,0.00,20.00,1,0.0%,9.3,23.5%,58.8%,17.6%,0.0%,0.0%,100.0%,0.0%,1.4:1,100%,167,74,2,560,JEFF CO,909
20162017,056,JEFFERSON,275,Jefferson County,018,Atherton High,275018,056275018,210299000632,"$11,929","1,353.78","1,425",600,42.1%,825,57.9%,945,66.3%,292,20.5%,96,6.7%,47,3.3%,1,0.1%,0,0.0%,44,3.1%,582,40.8%,110,7.7%,93.5%,3.0%,0.7%,N/A,210,80.5%,180,69.0%,30,11.5%,1,0.4%,40,15.3%,N/A,0.0%,2,0.8%,8,3.1%,20:1,73.00,34.00,39.00,67.00,2.00,3.00,1.00,0.00,0.00,0.00,73.00,11,0.0%,16.1,2.6%,48.7%,46.1%,1.3%,1.3%,100.0%,0.0%,6:1,100%,504,123,4,985,JEFF CO,909
20162017,056,JEFFERSON,275,Jefferson County,185,Atkinson Academy,275185,056275185,210299000733,"$16,706",388.72,415,208,50.1%,207,49.9%,146,35.2%,233,56.1%,8,1.9%,0,0.0%,1,0.2%,0,0.0%,27,6.5%,387,93.3%,4,1.0%,94.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,33.00,5.00,28.00,27.00,6.00,0.00,0.00,0.00,0.00,0.00,33.00,5,0.0%,5,34.4%,50.0%,9.4%,3.1%,3.1%,100.0%,0.0%,1.4:1,100%,255,84,3,"1,300",JEFF CO,909
20162017,056,JEFFERSON,275,Jefferson County,127,Auburndale Elementary,275127,056275127,210299000707,"$13,807",546.73,578,314,54.3%,264,45.7%,267,46.2%,131,22.7%,102,17.6%,54,9.3%,0,0.0%,4,0.7%,20,3.5%,449,77.7%,38,6.6%,95.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,42.00,11.00,31.00,35.00,3.00,0.00,3.00,1.00,0.00,0.00,42.00,1,0.0%,11.3,12.5%,68.8%,18.8%,0.0%,0.0%,100.0%,0.0%,4:1,100%,575,11,3,"1,240",JEFF CO,909
20162017,056,JEFFERSON,275,Jefferson County,044,Audubon Traditional Elementary,275044,056275044,210299000643,"$11,366",599.78,614,319,52.0%,295,48.0%,360,58.6%,189,30.8%,20,3.3%,8,1.3%,3,0.5%,0,0.0%,34,5.5%,195,31.8%,33,5.4%,97.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21:1,31.00,2.00,29.00,29.00,2.00,0.00,0.00,0.00,0.00,0.00,31.00,1,0.0%,15.7,6.5%,51.6%,41.9%,0.0%,0.0%,100.0%,0.0%,7.9:1,100%,539,101,2,"3,836",JEFF CO,909
20162017,056,JEFFERSON,275,Jefferson County,150,Audubon Youth Development Center,275150,056275150,210299001996,"$59,769",9.21,6,6,100.0%,0,0.0%,1,16.7%,4,66.7%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,16.7%,,0.0%,,0.0%,100.0%,N/A,N/A,N/A,0,0.0%,N/A,0.0%,N/A,0.0%,N/A,0.0%,3,75.0%,N/A,0.0%,N/A,0.0%,1,25.0%,2:1,3.00,2.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,,0.0%,23,25.0%,50.0%,25.0%,0.0%,0.0%,100.0%,0.0%,0:1,100%,21,,,0,JEFF CO,909
